,heating,cooling,fans,heat_recovery,heat_rejection,interior_equipment,refrigeration,pumps,water_systems
134,80.58640470956863,8860.382478883896,14986.25398354471,4.012285305115991e-16,50.6730684496872,19096.583446765813,284.38279823980184,684.9765370675926,7982.289272320937
135,2499.5870382628555,1458.965047812224,13027.342443748483,4.102293713805058e-16,14.481308353252043,8428.511181744989,19.424950696721297,572.9594684553548,952.3730030419434
136,175.05635049791903,8414.36855648471,15346.214774984133,3.3597890745866565e-16,55.44253177372403,17560.504838569228,-3.5605607879460875e-06,689.5040115344228,8137.428895175223
137,224.7380943500243,7347.738481012267,15363.914315835575,3.8476347579091434e-16,53.5305267384593,19369.173978279225,292.5542604376764,686.3194725893785,8230.319112851186
138,2866.9230790132287,1489.2713529765308,13146.241245820984,4.2496955939924836e-16,12.588371527369262,8625.814467442342,11.734445158263116,576.5159909493975,973.629709754873
139,459.1100287573217,4549.288504989674,13308.224475919977,3.4765021729434554e-16,46.10796150731114,9887.51572390693,264.49168350329353,592.9933316168074,2430.7570503550974
140,4129.915038402976,984.7946451249834,14647.192823338351,4.583530218367406e-16,5.631934576189935,5615.927280128813,286.9341188389267,608.9346679396083,1070.2653932611709
141,656.493528926013,4991.479751710074,15021.215548039025,4.838589840653559e-16,52.87484645904508,19269.203096752546,286.9911312464919,648.8470166287457,8077.915384930535
142,338.1381284442896,6176.593740552562,13037.299056559797,5.051236997528157e-16,45.48611499399578,13212.951220554256,253.97343849979413,584.4343978933183,4606.365705301429
143,310.7732606646463,5020.573899142792,14511.434588675906,4.305605368685443e-16,56.10710590529047,16185.46583059045,278.1636113376257,629.6789470480592,7853.830947952762
144,165.62083779118302,6992.153423425951,14671.736075458424,4.830054721550829e-16,53.134121486960744,18559.454087707174,279.90031363374163,645.2646085309548,7834.2345112270095
145,2842.966548343977,1169.7294177526157,12951.356806250795,3.7281668405725764e-16,9.459218770962151,5715.028637420208,20.2517060068935,566.648849537525,774.5931873475334
146,92.1602208675071,9110.618003372134,13423.30075161569,3.591286849384279e-16,80.31073170485622,9870.710669982267,265.17902207466653,619.7010267201871,2386.0095262025625
147,19.450269322132417,24283.404410484247,14722.187473496226,3.6560971269206213e-16,125.02269096599643,18282.45234265126,334.98647006802975,726.9992683138422,7599.56494428222
148,469.3630138418326,3715.083538430523,13362.453590608762,4.391152472339241e-16,40.33707363049676,11412.35498167618,-8.720171757659045e-08,601.9064611290644,2446.6897467794265
149,96.91618073861954,8613.772781466709,15137.423512106046,4.635677860969887e-16,51.81588111360758,19269.20774607069,287.129667377904,692.8208407856987,8089.212105357897
150,86.15138011488807,8380.829003332026,15100.190358054115,3.668237075033531e-16,50.10395807978542,16765.525010367186,287.99179020884446,680.362870082542,8040.282957217079
151,26.130888386587234,13620.015878109481,15790.893175393003,3.8494029230413407e-16,77.50076219086031,20823.54901204518,277.08860497035414,744.4400753450795,8528.77517203339
152,18.856057374306356,23260.343922067725,16303.80037622804,3.8569154659133536e-16,105.37895692781419,14945.773822812691,385.6816797582013,784.0217661381816,6096.371368862468
