day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
135,1493.4517059082177,69002.13475536514,115484.43054772235,0.0,425.4552339010532,110371.20173354536,0.0,165458.77782893067,2427.5948938890733,5849.466457894925,66781.25667261804,10.0
136,584.842072769359,71579.68808130673,114285.27948127515,0.0,444.9699834015266,90694.81916352444,0.0,147272.71858514933,2409.1271756726783,5770.899057918981,68600.20187316963,11.0
137,2539.351689964869,49521.761435621534,114540.63360399216,0.0,397.78727266687866,116046.45708533397,0.0,166399.9776284646,2424.424406292361,5635.122317323145,68827.87845643451,12.25
138,5075.9017583539035,35741.858984143684,114878.81139420012,0.0,406.26366314755893,61019.317430672476,0.0,112097.58594971236,2456.4431116643427,5517.102162659868,48128.07328924937,11.0
139,31665.227481567665,6264.968878739659,100532.17597437937,0.0,41.58362577469503,23499.98536023084,23051.630644647634,41795.889705637266,2175.7619836136073,4636.281908969231,6540.608227182461,3.25
140,452.40644637574,76082.27545154908,114487.54564578335,0.0,462.2328490711448,115684.43479414299,0.0,166626.4311185904,2407.1185692306494,5849.204703404943,68459.5960259638,12.0
141,11316.183541054788,27533.345635599704,116076.06962292966,0.0,332.1217834069652,112133.46771924853,0.0,168100.7244582566,2466.5988144411695,5453.052170538625,67699.02134039771,10.0
142,29289.847745874646,10884.621816107494,107783.95023126739,0.0,120.6313113385791,37994.56866849255,24612.61724164561,81877.38825029587,2323.1672656238056,5205.434190793095,9978.576348510325,3.0
143,4688.774821565173,30596.260502843146,112654.19628831994,0.0,317.6361255348538,91122.51463281286,0.0,146320.2973147867,2399.453158517674,5324.236453600904,68398.49527963555,11.5
144,4675.947082244506,40884.99783487281,116814.23664190591,0.0,345.42785680847993,112841.3254352739,0.0,169165.28067119798,2483.0640513731664,5605.468298462434,68021.67542981061,10.0
145,9797.953325280507,19768.94417178083,114643.55018391454,0.0,276.82015189841553,61195.38879395666,0.0,112421.81332977563,2464.912502489008,5266.927223502533,48076.29174440134,11.0
146,1088.9156581215584,61258.216313088866,107749.20015251094,0.0,544.4981779850108,59056.815492449576,0.0,85811.5148590034,2363.6492519782314,5460.5008047416395,20138.538626463123,11.0
147,70.65901501061393,127466.81815714524,116892.78752397858,0.0,967.3981949284143,114867.72972757509,0.0,170080.67873622835,2573.4520254852164,6101.922428639069,68585.84986682326,10.75
148,61.96607371493888,133217.22868964126,113770.89509855256,0.0,965.0275102949316,112653.2382768515,0.0,165916.77792241029,2591.1901280299658,5984.158191932438,67016.88561986825,11.0
149,3803.1721925927914,46584.93265101306,115198.0512062173,0.0,425.29892642764185,110875.99867033026,0.0,166217.98808325775,2437.496649318331,5729.407750214148,66692.0119614645,10.0
150,3401.1135175648496,47642.674122848584,114106.90407871873,0.0,440.0470588833976,87321.98441297244,0.0,144185.47444751894,2418.5288445027663,5605.342673689664,66029.86679283626,10.0
151,4740.092150430085,50505.897479622516,110278.42290861518,0.0,412.30118369245207,98151.88996151357,0.0,149345.560765125,2338.217235910137,5477.60081428013,58361.718218300986,9.25
152,267.264772564931,116224.4195460285,120330.28540920613,0.0,748.0258694410385,62981.42699448699,0.0,117322.44443565492,2844.198537203582,6195.491133674894,49721.75628865288,11.25
153,772.0756484058991,107062.49647281748,116928.97549620197,0.0,764.8805345178945,63684.88581560078,0.0,93365.50553105888,2839.045863498768,6090.259281210311,21978.299160931245,11.25
154,463.85304442745496,86450.92199950764,120798.71250110299,0.0,568.324941483928,115283.08974426825,0.0,172785.96073343148,2533.9567159729427,6135.088493249618,69182.8827568742,10.0
155,1526.6636892635474,69533.59536638686,119985.25027231521,0.0,430.1623689689853,116138.23011467842,0.0,173430.8120964255,2517.4794400520877,6082.805140199226,69503.54897293735,10.25
156,2539.647840032346,61396.00689771698,119307.65835905692,0.0,424.71092540103007,114327.58297483859,0.0,171372.2052417695,2513.242954005076,5979.539989387522,68675.03871959899,10.0
157,2941.119281585559,49322.38475572119,117473.19546468106,0.0,414.2883950484897,90052.42687437806,0.0,148671.07102910508,2494.918252448595,5814.997669514544,67805.6208872113,10.0
158,727.4916584564393,81680.47910471245,118507.70307650373,0.0,540.8326849629976,113058.72345257968,0.0,169475.37691401943,2487.257375952415,6025.262564937998,67672.68407703536,10.0
159,1984.014608005343,52744.44592950324,117516.48702550986,0.0,501.07993272749684,61394.38624253108,0.0,106728.11738942242,2498.8615144927107,5730.41253817604,44351.94304184664,10.0
160,2761.0820335378626,46731.91466916517,114835.70257408009,0.0,435.7644531673888,60620.834506507425,0.0,84715.11872152537,2449.0331474431523,5608.387086036244,19113.52091347018,10.0
161,141.8411384499651,114071.14248717883,121555.37640508822,0.0,788.8053130539782,121562.90658879731,0.0,177018.75265402117,2550.6439984718604,6292.17726941931,71378.08375629943,11.5
162,85.44767964980616,153620.48743777917,120285.33717966186,0.0,1034.8808904091898,119860.20696218486,0.0,174520.67086481123,2787.818372459367,6366.430586406347,70352.7788593533,11.5
163,90.37959755379514,130627.60105607215,120730.35499138225,0.0,848.2999757256481,120277.40222336263,0.0,180620.08984617074,2625.5300974544402,6335.024753011316,74009.18504910999,11.0
164,10524.85064087304,22187.769149446987,112987.27976220602,0.0,278.63221990512204,61031.40854744542,0.0,112049.92860900144,2468.834130129372,5310.730749867195,52463.12121528363,7.0
165,194.83153104469417,88108.82588609902,119757.55448916258,0.0,537.617609927751,120303.06880547972,0.0,175995.03746815262,2516.6703459426326,6163.360964547567,70699.03016895628,12.75
166,19937.076002676644,10804.839701402545,109249.99675850975,0.0,92.03053086738446,28067.932193490775,25189.22657645507,68643.56678534308,2377.5867869970425,5286.397249604055,6920.268417885968,2.75
167,470.8496570707814,82732.3515613429,123106.60982440934,0.0,493.7440728207196,74239.04543147808,0.0,155837.06323569955,2645.5467579950396,6183.770803594891,69007.65148037326,11.0
168,223.90680716976414,98353.73855126706,121185.17563305359,0.0,692.3774771734254,121685.38496021355,0.0,182824.463505764,2545.4094584483055,6172.594775652394,74691.84395988038,11.0
169,2507.8511663111267,58407.564744646465,118005.46871423424,0.0,449.47736408575486,120010.02168719242,0.0,179413.48690992917,2495.4717645841015,5812.703198387373,72924.75265142322,11.25
170,3598.846301087705,53351.35117500588,115989.79473433521,0.0,392.57114131766906,115485.42052074599,0.0,174709.45202845495,2455.8524505340224,5720.628434294406,72031.19625948617,10.5
171,455.02877400075613,73359.33289346843,119983.91295018584,0.0,460.40260233445605,97140.4272395827,0.0,159178.9458733199,2534.996724625444,5978.852372420662,73713.36729439185,11.75
172,337.3109443633456,107215.43492803464,121897.86080106154,0.0,705.8346823006118,117189.07450971108,0.0,178852.35750256426,2550.931385232919,6261.3178280529855,74332.0737818126,10.0
173,164.27888989909167,162918.96949881964,121756.81432528324,0.0,835.373010732598,71528.6796453043,0.0,147356.95336765426,3028.1970783035054,6344.32806668015,69000.67072512204,10.0
174,261.61747075170035,111586.70642437451,119227.31490333886,0.0,805.003227953021,70983.23097046603,0.0,144482.99731754247,2614.9870705266826,6065.998075733011,65234.7943663117,10.0
175,501.50805384351867,91602.71185139588,118619.59338566008,0.0,696.2397205260628,116063.79496126862,0.0,176416.8049232076,2495.278727047937,5999.825578181542,72889.37932094457,10.25
176,939.2423604020388,85355.34106297723,119716.40501699045,0.0,529.1823838450765,113624.9189283249,0.0,174234.57972221536,2510.294879671454,6102.845322415439,72712.31011447491,9.75
177,326.84606083724833,87397.20982472227,120477.66897699333,0.0,577.0870182167428,121840.17133766272,0.0,182183.50001623348,2533.2903310587017,6156.873779512061,73816.75361934525,11.25
178,917.0093970119751,76061.55796161659,118373.28215934348,0.0,449.37735747454497,91395.06879424254,0.0,153595.18450494015,2498.890960331467,5909.364772459686,72645.8381711239,10.0
179,12335.89696843118,12845.02418738055,106870.87373089876,0.0,170.5252637057524,51603.30031369844,12331.794116284,93771.1874441883,2345.6796040185636,4936.536502563392,20203.67832407735,5.0
180,8050.83216063707,13373.843908540512,105269.64448126021,0.0,205.34474210555226,34876.996726012105,9076.022071116793,77881.61678466892,2333.0442064390595,4870.303366339284,19621.782743428223,5.25
181,6439.433917457641,18903.90614229568,108869.8111170589,0.0,346.04475468097723,28953.46032272673,25640.25035727115,81410.89447760569,2447.254575861708,5306.334778976354,10637.161272121491,21.25
182,157.48548536794115,98472.58589470715,119000.94359418169,0.0,810.5553735547196,120886.11843137346,0.0,178357.4476751111,2497.8395418289447,6107.047142571053,71796.6714106367,12.0
183,71.83383554094712,118034.3219916032,120784.9527171479,0.0,851.602722759363,122151.89520992937,0.0,180969.8038594322,2524.374526019978,6305.665966350304,72857.82955102688,11.75
184,101.03810876928131,110022.34870145694,118246.58611506826,0.0,824.0170173113294,119525.4878930269,0.0,177995.26915211588,2475.6682890608627,6143.153135827609,72006.16657119324,11.5
185,1867.5291500269348,30267.02423658313,115331.6338382499,0.0,388.8334915123899,37811.524069944186,27021.962226862317,94467.2080309436,2577.003120163458,5671.29709362781,13534.81371414718,21.0
186,4473.994274186226,19737.47777351912,105276.28111438894,0.0,347.90812535632944,32830.13441344001,24446.96152114787,75867.60200314088,2307.615589551983,5175.228133573402,8092.459445529461,1.0
187,6571.458688035845,16374.657282769096,110156.49640558174,0.0,337.02786152578705,28910.073634421464,25552.394886777052,70327.52005637562,2411.9395950164194,5371.916648988763,7107.2709927609485,3.0
188,2273.706754532644,26258.571093701474,113167.9768837821,0.0,345.9710907946278,30027.03082749727,26596.31639025841,84416.46141046958,2535.378379898599,5560.187352833772,11004.240856324883,21.0
189,602.8959800381069,63064.58048658141,115195.23417265862,0.0,548.4727581643504,48290.42611010733,20083.93509021852,105712.58888193822,2590.7323035000995,5859.26014818041,15291.264733166236,20.0
190,5731.151414190335,18207.05359866008,109039.51894988917,0.0,218.66906513681232,35715.5927388109,25332.582488424272,80439.03868475219,2391.212750158904,5362.1309057912895,8093.904512895161,2.0
191,2096.334104411191,40629.98053408184,113762.02344131345,0.0,481.6336143211428,48048.873457108624,20054.46730153056,105167.09607156017,2576.8151757738465,5725.1807931333215,15013.222225150275,20.0
192,12075.035803720446,14304.066827045463,110275.88174726763,0.0,248.27695821595313,36221.29907618357,25412.224661740496,82276.28498532358,2398.6997598569965,5297.146045644842,9223.24372088618,3.5
193,2773.3329371030673,29766.57398887641,114038.2655739656,0.0,459.5583817378798,42337.02460838771,26691.26815380852,97727.07049495111,2548.9101670549776,5651.405497953656,13153.362273672075,21.0
194,6588.248470755587,19108.52423016899,110085.27516861068,0.0,348.4634034661419,29204.298298152935,25879.266865517973,82467.92550149621,2468.0264528616976,5352.005494622524,11693.23720146851,21.0
195,1854.5064974704658,66971.09018845124,119590.89971521626,0.0,574.2299762396855,72530.51117492947,0.0,152214.70380735942,2585.028493591996,5830.213012333101,66940.84069637315,11.0
196,283.34672941242377,104238.7077978332,121768.69835473635,0.0,824.0335953286982,121309.56558547038,0.0,183103.84924209633,2557.5040105212897,6209.165478162715,74422.89407463497,10.75
197,14705.13534260293,14603.122775824138,108284.7884992199,0.0,210.6544997148657,36596.06513264056,24978.971238900245,80741.90275137499,2357.7949437215493,5279.95216905556,7940.002152046971,2.5
198,16549.30542628625,15177.049836212716,111321.85835881623,0.0,224.28717419602413,39431.58120410691,25612.92293849738,84692.79783214649,2417.6324179559174,5426.949319477294,8443.498166975769,3.0
199,4708.866321729057,21335.641932681578,112321.5702839291,0.0,351.19013751477826,34717.90509151015,26458.80004304791,88453.1353118706,2484.9959748157517,5475.137399840189,12439.990502363828,21.5
200,1702.7224215643664,34881.98795026822,114022.56774563358,0.0,508.4795024712086,43600.339783052405,26629.058377689485,99680.66866092761,2561.6420976879126,5677.957793604001,13623.238995530326,20.75
201,2808.1412948305992,25427.299010076145,113526.70760939129,0.0,466.63721960448464,28597.561777134768,26782.945718615512,81974.17623953908,2519.8735704231253,5554.647084430971,11161.463649752446,21.5
202,295.9499735093454,103723.3323188765,119633.76921206815,0.0,768.5545443831185,72100.0593239083,0.0,151346.21791327765,2571.3331352192295,6036.024675951507,66472.01733089783,11.0
203,4189.838848122796,25659.4066276601,115292.0827595156,0.0,394.5261666646884,42852.12163588167,27005.591233146795,98901.10804192368,2577.0927290208338,5687.966209148254,13226.831079849198,21.0
204,531.9328690314477,81574.59520888451,117277.3743642558,0.0,850.1795376042871,62399.15514781968,0.0,119796.64203325508,2589.2645460429976,6041.396569364907,33362.10280715403,18.25
205,1241.6561401381912,56457.92480026285,117399.62855274916,0.0,595.4585531488348,54861.96149791202,10097.628923742082,113957.19991296978,2637.2080850526954,5982.594471806133,21717.331922370842,19.25
206,8859.124909689737,17597.646849223132,115440.08763143678,0.0,290.4480250038959,34362.138067901804,27211.86575396253,88950.20024311649,2538.0092246359086,5563.361209418252,12402.149709215295,21.75
207,17836.40237649439,14046.340798907991,112364.97457532019,0.0,196.90112527737537,37937.09640093988,25893.26338857048,83695.59132416829,2444.091480658057,5458.4408017,8175.116126156634,2.5
208,21990.72983353905,11187.799691272337,111981.12081906256,0.0,119.76850501601987,29181.15829961875,25794.50709365837,70989.17590118968,2434.7160198999786,5420.425311433482,7129.720308364371,3.0
209,18400.913636528046,11402.174017695936,108742.01246889413,0.0,108.85006302287027,26673.1499906953,25163.74108099388,66066.10214620609,2375.174322680033,5278.2069158042195,6821.513643366912,1.25
210,20583.454017996813,13116.92404264738,111033.59215059307,0.0,190.76148829310182,39359.85214055388,25523.72370438321,84402.64006091276,2409.196484119403,5380.702782888581,8336.902074204256,3.0
211,10562.142555163417,18706.653503342848,115941.09031227976,0.0,237.45439238624485,39870.354478270616,27287.172325053998,93112.20978956456,2544.5624549620916,5645.442603058777,12046.394421863726,21.75
212,387.26626117751897,86846.56328892442,124548.01786664146,0.0,617.2356429082893,125224.94679631905,0.0,183737.36142291685,2622.145196741901,6322.16657787421,72976.78662303882,13.0
213,582.2844394498825,76315.00096106864,124892.68376046773,0.0,560.6056970747516,101242.87116478218,0.0,165251.7440190179,2642.2467854022793,6193.198172042226,75980.2911037568,12.0
214,54.35274779956241,139897.58321790057,123023.23340877751,0.0,1016.3196047779414,123537.42965487104,0.0,180970.11230243606,2764.7795637047816,6531.072463382723,72161.50019490588,12.5
215,3458.815372994339,24543.382121516963,117019.26089282751,0.0,351.8883915824842,31029.530300312923,27490.17264712663,87621.13784281859,2621.401251404425,5725.099870945109,12384.03582271201,21.0
216,5509.002650459116,19607.877597290437,112884.53492888293,0.0,308.66942174446643,29999.700274705483,26593.0421915153,84301.59408632852,2535.5160102943532,5503.252132027836,11010.565190475887,21.0
217,5933.895588218973,22650.343774129393,115653.78516524953,0.0,286.3839259364436,42991.71345040022,27107.0913941831,99238.8982823551,2585.4092102039504,5695.359493474227,13265.689083739697,21.0
218,9090.162252895041,19845.778130862316,116175.62337918121,0.0,276.4239436526163,43196.26064218588,27241.333542650496,99717.10051551725,2598.191479276431,5660.951090324927,13367.235385068981,21.0
219,8594.025259522286,20243.73653304384,115543.66419718642,0.0,267.18308911688274,42999.910581066106,27090.720400467566,99233.89565925156,2584.4998666088136,5657.175134394417,13262.699798851492,21.0
220,4102.207881125094,24892.381976818346,114588.24272420947,0.0,325.28166383378635,37628.34004584166,26874.62328342251,94005.209319829,2563.8802363485534,5600.124627590139,13455.248885324227,21.0
221,2492.2278155901477,29179.680364600084,114756.54913335305,0.0,428.13819341446094,39475.42166285697,27012.139630633,92186.02289775503,2519.7304612172484,5704.831407294171,11960.791934652212,21.75
222,2097.155063928611,27988.637095756407,115712.50252118688,0.0,401.659660718569,30676.243611663205,27169.30117030213,86635.98578205267,2592.4084734409703,5675.806388439856,12291.893663003273,21.0
223,6239.302281495597,19450.523283555915,115667.03681892065,0.0,353.4721062884775,30050.81603497564,27280.623927567776,84772.66817882414,2582.972112068748,5630.833858876748,10957.964017593984,21.25
224,8511.26277566559,19326.006465695515,113102.32744417732,0.0,260.6265789100242,41901.2209886267,26439.154850589264,96736.95646361745,2522.1034304033733,5480.168665253623,12927.975818938932,21.0
225,5083.141753706129,24168.684272530332,115912.18050528585,0.0,431.4755369093333,39753.03876327856,27195.494760246995,92848.5289898712,2537.017325074872,5647.765274226712,12083.212154030582,21.75
226,8069.054869687391,16358.536093970351,108922.34336923284,0.0,300.96419268095786,44049.65726134618,24908.886126381964,87908.55202223301,2351.333923103634,5146.19469110911,10580.242964970485,4.0
227,764.9395424306947,55300.09055038295,114450.6657429848,0.0,555.8889350380208,44516.74514062001,13142.633754831619,105307.37187156794,2550.9843933437896,5669.055571701177,23717.597270338927,19.0
228,5084.697401829521,23711.06159563428,109786.78746955002,0.0,366.30743894584265,40806.877788295584,25630.427761041832,94220.25760770537,2447.9824546831287,5404.9175662511625,17133.81672618755,21.0
229,244.10025957103622,119400.54682510984,120490.93230133619,0.0,779.1466760980463,60988.43550128722,0.0,122312.830936763,2802.921727965293,6207.415354186496,49465.42637858699,12.75
230,1080.5043965336008,67400.86621662846,115797.01794502327,0.0,706.6194674394752,62266.89902109276,0.0,94574.85429263093,2548.4798101524807,5829.407931068405,22103.569110915912,12.5
231,323.59418325938026,95189.75377223393,120736.05313278499,0.0,715.6405726400822,121924.269802464,0.0,174200.96171131908,2537.7255587127993,6196.042695733247,70491.11488940787,12.25
232,962.0974317522227,69652.7968991592,122065.57440992564,0.0,672.1788053075979,124056.55786984034,0.0,177238.98794279844,2582.7601018512155,6005.015435648559,71651.17102737006,12.25
233,532.7145949465845,81949.60437647432,120316.61314594778,0.0,770.9906572415199,121185.41521357173,0.0,177690.82196514512,2538.398229703498,6012.04103725496,70465.64480958198,11.0
234,3210.8346741009354,21852.252672349587,110614.88350295393,0.0,307.6556638363858,34156.5449860092,25882.54106426109,90937.57418511705,2472.80729977942,5326.851438561044,17441.4396035253,21.0
235,377.6909823464401,90378.26408865099,120579.49692312838,0.0,796.0585480589864,122438.00617025107,0.0,175676.41965174593,2539.165929459363,6117.259202160993,70851.27498511606,12.0
236,353.8083088223247,95699.97673585573,124785.47069893432,0.0,813.8492771278007,63337.261571783376,0.0,127038.6910074734,2648.6135289336635,6265.789471120479,51449.53866880137,12.75
237,1040.5929996250982,69309.09279483833,115129.53682682585,0.0,637.7272010477926,61849.47857768874,0.0,93944.00976951419,2530.7721968147816,5804.984648897684,22059.394098985496,12.5
