day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
174,49.65429778243607,2676.271752553289,7086.260973327193,4.526822997863468e-16,29.099959872183977,1511.0845709944138,1250.7438922145782,4352.661127012435,117.80910801652448,265.7821731809256,621.4304092673395,50,2018-06-24
175,306.28755990804837,1409.1542855992811,7785.827233106094,3.774973059721301e-16,22.19984293066839,9231.108965499194,2.626563498720072e-07,13403.055506865787,1.1378598568967392e-06,485.73222776678006,5420.182207611461,50,2018-06-25
176,500.1286555771958,1633.188066134999,8448.300362963713,4.255146552502421e-16,19.317120651358753,3652.70679884535,1.977831512166436e-07,5303.526472165493,144.64273905724133,194.14105916530343,2153.20135283685,50,2018-06-26
177,50.64406124675034,7730.09871400574,11990.274574252411,4.0447930924464265e-16,57.41296719510342,4493.287977061326,2.5796315388605535e-07,6571.101132560702,192.84274249238177,232.55215782881976,2655.735621754272,50,2018-06-27
178,712.8199167541355,1250.2531206959472,8243.783962759548,3.7794689512408577e-16,8.389948196621358,1605.827086712969,1489.7604008606204,4421.66323004826,3.445197575047132e-08,302.43573775990285,589.2744751460418,50,2018-06-28
179,12.463663052500813,7539.625507494674,7038.778419850322,4.3465058762830124e-16,58.18618606829467,489.5044482887776,363.16829621014705,1126.241000706937,3.8399452248196457,76.31540029670008,118.51750798888189,50,2018-06-29
180,786.8330036109539,1312.474910185351,9495.25020248001,4.379007295730551e-16,18.727761561882865,514.6706168278942,3.2490908381951213e-07,1089.6808201419426,1.0376323749028416e-06,47.22032004661369,477.7204793729601,50,2018-06-30
181,79.968122710532,7963.353323737206,13647.189139333597,4.987038106261432e-16,81.83811730028484,3618.0746366294566,2.9364544247466633e-07,7556.542892672624,-3.3423019799499796e-05,310.68134028229326,3139.859732888784,50,2018-07-01
182,29.11250625086684,6618.434466223418,9098.345884648616,3.91925428749065e-16,67.69378702604959,2124.377552691623,1.7261139914087532e-07,3084.477731221352,109.36968569407476,110.57203377409341,1255.0397485835904,50,2018-07-02
183,18.591464093827483,11774.00736581862,11110.753591214974,4.57802076144942e-16,100.05347709111341,4630.837499678699,1.8911119037172311e-07,6723.717903651944,182.83812018948203,247.629914733906,2706.947381408827,50,2018-07-03
184,316.04803498213494,978.0431245313861,5806.755284070873,3.100755306554118e-16,11.368211321773831,5624.25161078057,4.172317930160029e-07,8225.051817951799,0.07517652350839267,297.68947290547436,3306.208229806226,50,2018-07-04
185,353.90057330161005,2705.920793052729,12355.878986976948,6.546572937796935e-16,36.95341041693433,278.8047343426756,209.54870014828765,694.0756351223531,1.9560893889547516e-07,43.78148867528473,97.72644624051034,50,2018-07-05
186,178.2561296038384,5963.229124014742,18951.675180430415,6.155115084126414e-16,81.9077280266225,4957.075999352543,3326.5858330579613,11761.022252349203,305.322694772255,706.8646040880902,1554.2855895150205,50,2018-07-06
187,405.77952301846557,4570.551703329801,18635.781933444156,5.354753263480102e-16,54.884915302509256,1199.4525464945689,1090.3080094595928,3309.0230265756404,99.60219685372053,227.761690310254,452.4932069351298,50,2018-07-07
188,21.061235895189984,12680.13896327885,12317.808756949773,5.819509237635567e-16,83.51939651352221,921.1785164648954,872.8781460782327,2280.9529648368125,216.92079023642208,183.65068692650522,240.14248457365957,50,2018-07-08
189,26.16020882776762,20656.461122538654,16790.041442212536,6.36211328974991e-16,151.3929822137314,6374.98798196908,5.552478079718409e-08,9307.071113332062,-1.5630269873554426e-06,425.5324206920683,3818.166393919045,50,2018-07-09
190,8.847695824512451,6883.042331415388,5702.400252482779,4.471352627124423e-16,52.89495748781539,7946.038023163452,5.303038123629875e-08,11370.170340663399,87.1471764267443,487.7903728031319,4589.940665872049,50,2018-07-10
191,717.6134999591737,3930.484061705523,18414.344110414757,7.761559625220106e-16,63.93655960256616,4833.643382598328,3241.456590078187,11461.569092507354,1.2591279133653548,682.3031223681535,1502.587816888695,50,2018-07-11
192,68.97826239200668,972.0552479661499,3913.6453265050527,3.2402349836444487e-16,14.460138226029713,191.35998484423226,140.79035300961962,477.12233517624816,-3.839197118878701e-05,29.40649363397968,66.01884008885438,50,2018-07-12
193,31.948997380840858,20608.304186003796,18509.111067314603,7.156605119202276e-16,151.57042727939486,775.7188270567065,3.466864570058104e-08,1194.8643351538562,-1.5904858793760468e-06,55.40916277518095,496.7674603377881,50,2018-07-13
194,47.378745067510884,6617.185553347959,11091.662044975375,6.282802118570171e-16,64.61708887461535,835.0388124084691,1.5094647552186153e-07,2389.8997205004885,4.7415890435331677e-07,137.79928443764152,474.02458761419393,50,2018-07-14
195,38.039080246576795,13801.606726378315,17075.046862705403,4.1571422413923174e-16,114.81117773579086,8287.972156000787,5.982630060199585e-07,17440.386953275924,275.99047303867184,691.0494376096075,7280.976948260855,50,2018-07-15
196,2299.2012535173267,2137.789059744614,16741.998842878893,5.057876898150609e-16,29.665946999197853,6634.740363721334,4.914053835816275e-07,13505.520357721987,-2.1962673491884743e-05,698.0930995594838,2187.4018448978504,50,2018-07-16
197,2184.2070255455205,2690.278670994695,16214.644343681022,3.9698159971427626e-16,41.81032941406279,14854.983697777938,6.037940386738366e-07,21921.242449144047,-4.3217248025939625e-07,746.0879890592188,8760.98824547941,50,2018-07-17
198,1627.6722077502059,1764.9275853888294,12662.624302412234,4.740088816911198e-16,23.071746142557334,109.83472751123466,2.0886011878968605e-07,163.47946183591674,10.227548184017087,5.578965747179974,64.7737515244247,50,2018-07-18
199,501.2671149297122,3620.92978836815,16175.919803507699,6.371467827545437e-16,51.783710982277334,4132.701471897183,2848.5522518038556,10296.262185159158,8.757163903598514,595.5521824793583,1485.2514014644205,50,2018-07-19
200,173.96660208026208,2305.47362438965,8844.709918665802,6.310251528647728e-16,38.40112248910784,404.9540533976704,271.75847490868716,960.7919818625895,-5.287549043225681e-05,57.28951028354896,126.1005269468571,50,2018-07-20
201,98.65415673879617,9244.91802989564,17369.27415036693,5.956688424294622e-16,104.85540375972201,3534.8162871139507,2878.0205604404064,10262.290679676798,2.9731565480801692e-06,613.019161408519,1739.2729295273373,50,2018-07-21
202,322.1556780845378,2693.7413910345713,13765.361688264782,5.584368508030163e-16,44.56266855602228,2536.249526267178,2452.3747179314887,7228.07605041852,34.767371978611145,506.39890540843794,895.4845515172412,50,2018-07-22
203,159.7984492800375,4155.650173161919,11838.556503782076,5.553089334390328e-16,45.6348244355576,898.0573213982639,1.6549655659107885e-07,1305.2233192100568,-1.2056571334483124e-05,47.4109910149402,528.53568399361,50,2018-07-23
204,251.3165524493012,6827.812892062172,18419.113897340667,7.022368097531075e-16,81.47666056331472,6615.095953279702,1.1360198286579674e-07,13646.01347511275,-9.909941219348185e-07,714.6627612996199,2047.1109374368577,50,2018-07-24
205,8.557780204808845,3816.875359270276,3948.2719257520625,3.1340958263646704e-16,32.61368789759596,228.2381901529626,2.3943010241448374e-08,407.1513452513023,7.605620217532306e-07,19.97723348043356,139.12928574253132,50,2018-07-25
206,286.22916760293765,6331.261541571446,14842.47756895847,6.425314144984901e-16,64.33724621263056,93.02395240018862,58.93555603236906,228.65340896728966,16.856705048902704,12.424344799207319,34.75375533042772,50,2018-07-26
