day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
90,245.7111930908245,5693.615672697507,11490.619571340108,3.9430366462540575e-16,42.900746786310286,11800.9576731024,241.76141000285818,736.2182691474194,2859.5526179624544,13.0,2018-04-01
91,69.58751318429755,8266.097061222976,11858.649994244946,3.645841394734471e-16,46.06671881358546,22581.137050219968,244.93196025029872,788.2389274954776,9325.873464586524,12.5,2018-04-02
92,136.51549379935707,7087.505041642847,11357.036722683886,3.9654002755124226e-16,40.422989576357736,21715.252054881737,234.34436301126254,754.15848838686,8946.508660252513,12.25,2018-04-03
93,53.32669929918768,7201.711587379658,11105.46727619656,4.1682734257804886e-16,39.226215418475896,21492.986828643436,230.40829750984759,733.2354307443629,8898.022158895108,13.25,2018-04-04
94,2252.2517167757437,890.4295245872227,9895.112641855225,4.956176356322828e-16,2.532848932238978,8963.223412753307,2.3448410702417997,620.1459245192557,963.3007713316623,3.0,2018-04-05
95,390.6073267764039,4764.836674824466,10927.694801908858,5.12452846864697e-16,71.18842986784709,19600.686666041678,230.4121030061941,687.0757631068882,8237.181254507153,14.75,2018-04-06
96,69.82972105926761,6729.0107867133065,10621.735794290375,4.2167061314047197e-16,46.22051941365673,13706.868305981074,225.18190707213878,695.1672070757252,6540.629128260221,16.5,2018-04-07
97,149.5700832148348,6929.230455518582,11742.701798416758,3.7577213517202705e-16,41.1690606264802,19469.490010735666,249.23383260183897,763.7315563537719,8846.709717955504,12.5,2018-04-08
98,49.085746916898536,8536.544792659022,11389.034237244214,3.7532758641038436e-16,50.038535491012205,22426.13733430844,236.4278071259738,761.1518496968557,9534.526329270573,12.25,2018-04-09
99,26.11232946999157,7380.783362723216,10852.874997029716,4.2703223405885073e-16,57.864346977403535,21011.645400726928,226.4441331764416,710.1489919061456,8571.859788123305,13.5,2018-04-10
