day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
82,20737.302443281555,40303.49997345199,191334.13817963,0.0,280.6584972515959,127641.71666817175,0.0,246908.99215916157,4046.6638011528576,11583.447209971613,105949.05972793807,11.0
83,115780.69238303471,4371.728024595929,175540.41700576336,0.0,0.16208107084279408,51299.13549361935,51553.97163105759,90973.94791816719,3742.987602648189,9068.741273990745,15214.429938198697,1.5
84,4653.516363527664,91416.4118473986,186497.44792943925,0.0,571.0765074241749,237447.70907907403,0.0,344554.24469131697,3874.2717646640244,12036.843000628036,144760.46451363398,11.0
85,1721.1880200566595,132419.63265411815,192450.34231399142,0.0,723.7328452795659,244110.00961898433,0.0,355036.7976164915,3977.199557460411,12826.808784526844,149075.11374122466,10.75
86,46994.35332945538,14843.686588447184,172045.2754678927,0.0,93.67401587067066,76780.57997633607,50894.534435999274,167681.98343031664,3695.3087106194007,10608.024765994407,21437.240841722905,1.5
87,442.1484922388135,190031.27620274236,194229.54655013056,0.0,1136.3052143247028,194926.78784344564,0.0,311437.45405225985,4251.276812131981,12964.03237256662,150164.66076005696,11.0
88,356.05312529160096,192597.69812098585,192677.02616282474,0.0,1272.7894982467596,243817.29563107743,0.0,353843.312098337,4222.241014291868,13056.183942063166,148362.67464973626,11.0
89,11219.917703426232,57716.11490312373,185370.34973186266,0.0,649.7370570088008,122721.08424287023,0.0,217894.864000411,3919.082807595965,11409.892169635825,91889.27459209948,9.0
90,11694.70030892939,77645.38114133429,184472.91029463243,0.0,671.8539510545041,125217.32307755928,0.0,181375.49017242622,3896.1700014279036,11570.24202576057,43385.387884060845,10.25
91,2768.000961048188,120961.8075377987,189989.34127618282,0.0,732.754375536648,240446.97241644145,0.0,351748.1883491854,3934.3396188787224,12404.558164081434,146910.72223810325,10.25
92,4007.5636396298637,113352.77725173945,188341.73844834077,0.0,692.9483230391918,238101.9550104395,0.0,348365.0786948834,3896.503471948011,12320.019698140874,145187.79344998818,10.25
93,3211.6368861061596,105600.21687321788,187796.39836218616,0.0,676.6446320609317,241961.2683444005,0.0,360695.0143912519,3911.3117963883524,12220.504561872849,151622.20745472703,10.5
94,5334.656642737756,60806.40810456846,184676.29095556823,0.0,584.9354671249796,191228.79152479174,0.0,313765.4370244286,3890.452503351087,11327.281891956753,150309.5450895478,10.75
95,10763.33073016193,73076.93886250492,184561.1895032759,0.0,1014.3972754316534,239154.24544535502,0.0,357270.64953367965,3880.450708771522,11253.645090511289,150337.66727023624,10.25
96,5460.536311388521,100963.50022969556,185596.61203759548,0.0,848.8334717581131,141760.74947963114,0.0,297564.0347456218,3917.4621871339095,11560.727702869084,139993.80206722734,10.0
97,5100.249355380466,99485.5121077456,186125.33109533245,0.0,701.2313242059976,143356.77799777442,0.0,298083.0799151847,3958.918449126908,11875.084946185229,134585.24917098408,10.0
98,6242.364386126611,100887.64757271297,183189.46622402925,0.0,701.0563781110732,225704.38256689286,0.0,344705.00671523897,3835.7571918240055,11852.290275236935,148232.8031075754,9.0
99,2567.182543575186,103573.29719082473,186906.35423996518,0.0,777.1407079958605,240280.90246726482,0.0,360454.2059548445,3917.7509840566445,11883.069509452933,151898.3422931946,10.0
100,5255.419562067508,88390.3773541175,187311.81569522392,0.0,647.4048492498662,240507.45231699068,0.0,360837.37174207426,3918.694813696194,12081.175043837415,151886.80932960636,10.0
101,6717.638434224181,75143.6652736907,186486.2603524455,0.0,499.2971517783496,190761.49595020217,0.0,315824.1400364635,3913.49821794434,11846.826064536217,151869.22255170933,10.0
102,10060.512869072832,76958.5349873042,182967.8625964692,0.0,579.7749736150032,222846.12794106777,0.0,333207.4859755691,3818.7649078218396,11747.603557137974,135129.53264615583,9.0
103,3726.7824638439474,99381.16574420445,185197.47218352847,0.0,761.6042136374198,124566.6526693424,0.0,229131.79623062172,3936.5171162680326,11807.123867224343,98089.6642979717,10.0
104,9861.025783208337,57825.67790021526,175193.80831289696,0.0,651.7528656705579,123061.2867187092,0.0,178231.63838222582,3823.3946870205195,11112.586147648679,42351.669066954244,10.0
105,22132.975985477424,42956.06172289782,182829.77864537394,0.0,320.60772970837576,226601.4322509013,0.0,337369.1549084675,3829.163344696959,11259.188595766043,137677.36365308956,9.25
106,7678.095945952956,79355.84424699582,186034.41645924814,0.0,557.5561806741509,235656.89933171624,0.0,346246.88230485417,3870.434611391205,12051.44505608499,142857.968596022,10.0
107,14203.661554070924,48979.90016967773,182692.46422093082,0.0,364.5591111825074,229027.5846081578,0.0,339443.15240765456,3822.334440219505,11367.891229866646,139068.54597658085,9.5
108,11019.715983170458,74251.22771023531,195893.56009523183,0.0,632.9801909710316,189521.71351069823,0.0,313384.6495541414,4106.448586080059,12442.085620216089,145231.14625919706,9.0
