day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
144,3154.6541741213678,21449.079271115315,65213.42815193942,0.0,194.38617997610302,55066.688532401364,0.0,83254.62287129342,1250.5985600702638,2818.238305135672,33267.46093572891,10.0
145,4540.680242992918,12584.537404238525,64885.2211171903,0.0,179.74072995889756,31010.368354582435,0.0,58716.79389804048,1251.4842813342093,2684.11434426428,24952.629465079914,12.0
146,491.79165477775143,37972.60235896537,61382.396181463446,0.0,338.66824012051615,30236.72040401219,0.0,44747.952060321084,1211.1063986518882,2819.3119415164892,10705.104905307597,12.0
147,45.250385622155235,61864.9034977475,64852.23927374005,0.0,528.7437799775613,56370.74800123505,0.0,84220.15657059808,1220.2732543695954,3015.1451667542924,34096.15995270105,10.75
148,18.624677372456453,71636.22221069339,63179.55932072216,0.0,535.8951764541175,55499.86189239569,0.0,82528.00626977754,1288.5840762200123,2974.3657861660354,33278.47947926241,11.0
149,2827.2371851317707,23780.335260712083,64232.64783202744,0.0,233.17621090339267,54077.402402340886,0.0,81758.77049558183,1226.7036973064755,2864.5949898775516,32633.294994474792,10.0
150,1209.555680651024,28791.3948455944,63693.834355468294,0.0,230.9695522106209,45109.00499946803,0.0,73896.53856203597,1211.998802173993,2837.1578904474945,34038.29433139552,11.0
151,6472.11299913444,3720.099852498374,57153.40323996073,0.0,28.66061204609878,23424.80035809234,8779.753186380443,45433.47667998455,1106.0512590310439,2288.220734322847,9525.813006286948,5.25
152,124.57171002275402,72106.57535419671,67537.2363364417,0.0,440.0815716257988,31636.88550567412,0.0,60634.62846709219,1485.4503072342136,3166.220974860033,25503.740074944377,12.25
153,429.4149544312849,61114.63114686937,65834.29336180551,0.0,428.857398725581,32317.990917364656,0.0,47454.604876332174,1441.8385003886394,3087.458070443305,11247.336704589796,11.75
154,135.58648927627326,51009.16038779956,68253.92400427809,0.0,321.7565310505766,60283.85509967198,0.0,89637.30999389956,1285.717842240295,3120.1074080297535,35979.2725001205,11.0
155,471.83796993578716,41088.84898523551,66886.66082215268,0.0,238.4515924434284,59748.9722438025,0.0,88459.12122439504,1260.3960637254431,3054.6475742048437,35629.90723800379,11.25
156,916.4375913931797,37211.66081710752,67220.3864936279,0.0,241.1541337867527,59596.00221915819,0.0,88621.89768644604,1270.9717231520592,3044.852297217994,35771.67980150999,11.0
157,254.44370922279325,39771.267935353135,66776.88099731915,0.0,240.19687499012446,48316.12260645726,0.0,76071.75235152518,1272.465454320859,2998.1866174052534,35998.07855616149,12.75
158,153.48891022354866,49462.070625922504,66180.77059228357,0.0,315.73986904117976,58424.68251810863,0.0,86876.08757962704,1246.4914519425042,3034.773120336352,34942.89759418883,11.0
159,1537.0639411421566,25815.04992163591,65063.37071886765,0.0,271.4052428504534,30346.281852217762,0.0,51471.36744681455,1250.2274219201074,2836.909899908363,20647.943587461716,10.0
160,1428.1150186913144,26162.684463137404,64017.42729397741,0.0,244.38267239302408,30596.34865196549,0.0,42592.994478830995,1228.3953777123409,2817.411071451044,9602.527320008781,10.5
161,96.15753271026092,67527.75698313904,67895.27093419027,0.0,491.47904195737266,61497.005727558586,0.0,88429.67107029156,1292.5240500518964,3191.413283936856,36052.7088255077,12.5
162,86.28470665087374,85165.67068055981,67101.07550438266,0.0,584.7098584414493,60465.5817875669,0.0,86386.01751783464,1403.634005214942,3208.7155142215915,35350.28635521863,12.75
163,83.2401594033259,68149.7038038969,68074.00753485855,0.0,409.6662149661429,60362.816286932844,0.0,91315.92727210165,1279.8389717956195,3188.3418142818928,37748.92689634829,11.0
164,5041.44051171728,13199.915414044746,63645.194770974296,0.0,181.56095549682172,32247.858078876427,0.0,58236.973471904465,1244.4965090205621,2684.7424162900948,27972.76964769794,7.75
165,5412.953286599391,9289.66374592876,61481.966725305894,0.0,102.90927057650255,19212.123386134634,12972.37542019006,45345.192402228495,1209.8204850262064,2684.306117538241,5997.101011869756,22.0
166,11212.425605479517,6086.6255306291005,61367.54772202547,0.0,53.339513714537325,14597.302600911395,12714.076548201872,35304.38997409938,1200.0686485938782,2667.983240029287,3553.2068892951725,3.75
167,132.81987136952694,49380.40935408801,70026.1120813712,0.0,291.41277160334704,37881.63668314763,0.0,80546.77508512772,1351.9417580717839,3175.487346766416,35349.78429411295,12.0
168,194.9089145115164,51460.63050347432,67497.11477884222,0.0,347.46981301665886,60353.74147150208,0.0,91436.1554787211,1278.554487426192,3085.2586913770538,37559.119142724034,11.0
