day_of_year,savings,time_of_shift,date
272,0.5890009526854403,16.75,2018-09-30
273,0.16900017203352793,22.75,2018-10-01
274,1.0250018681850455,16.75,2018-10-02
275,0.3620000980350164,16.5,2018-10-03
276,0.27900000901326816,16.25,2018-10-04
277,0.9740008186409785,21.5,2018-10-05
278,0.9840139248713,17.25,2018-10-06
279,0.9740010275723626,15.0,2018-10-07
280,0.9910191548803992,16.0,2018-10-08
281,0.9780007280080263,23.75,2018-10-09
282,0.9910046306954372,14.75,2018-10-10
283,0.5870057223290187,17.75,2018-10-11
284,0.8760044714317211,23.75,2018-10-12
285,0.978000656909728,20.5,2018-10-13
286,1.0160009221708055,15.25,2018-10-14
287,0.982005679310083,15.25,2018-10-15
288,0.9970003842106608,14.75,2018-10-16
289,0.9700009212637628,15.0,2018-10-17
290,0.996001870443806,15.25,2018-10-18
291,0.97000058222397,15.0,2018-10-19
292,1.002000673205138,15.0,2018-10-20
293,1.0020024515967076,15.0,2018-10-21
294,0.9770009703690178,15.25,2018-10-22
295,1.0030341725986491,22.25,2018-10-23
296,0.9920029452587446,16.75,2018-10-24
297,0.9920003765349134,16.0,2018-10-25
298,0.9740174269445959,15.0,2018-10-26
299,1.0050009312120858,23.5,2018-10-27
300,0.9810006803777518,15.0,2018-10-28
301,0.984000626830908,22.0,2018-10-29
302,0.9820004394391606,15.0,2018-10-30
303,0.30200035319150514,16.0,2018-10-31
304,0.11400103270567248,22.5,2018-11-01
305,0.11700026454548075,3.5,2018-11-02
306,0.9520002362988651,14.75,2018-11-03
307,0.9820008955866623,21.0,2018-11-04
308,0.9690054480463992,23.25,2018-11-05
309,0.7650000713488163,18.75,2018-11-06
310,0.4400007602342638,22.75,2018-11-07
311,0.6450004674838283,20.0,2018-11-08
312,0.1530001056802522,23.75,2018-11-09
313,0.1030000271394935,14.75,2018-11-10
314,0.9760003449550347,21.0,2018-11-11
315,0.13900013190736962,20.0,2018-11-12
316,0.09600014219813839,18.75,2018-11-13
317,0.14000006591510394,23.25,2018-11-14
318,0.08600135188184936,0.0,2018-11-15
319,0.16200040463707788,23.25,2018-11-16
320,0.10700006393771586,22.0,2018-11-17
321,0.11100004674931728,23.25,2018-11-18
322,0.08400058108919509,22.0,2018-11-19
323,0.10100006646746314,22.0,2018-11-20
324,0.06700001233420125,5.25,2018-11-21
325,0.9930215779413152,22.75,2018-11-22
326,0.28800026022919983,16.25,2018-11-23
327,0.9130015173922004,22.75,2018-11-24
328,0.09500022125535813,23.25,2018-11-25
329,0.9770063441312299,16.75,2018-11-26
330,0.08900005364223698,22.0,2018-11-27
331,0.9490101767913081,22.25,2018-11-28
332,0.10800102504711147,15.75,2018-11-29
333,0.9440007593866317,18.0,2018-11-30
334,1.023999900501167,17.0,2018-12-01
335,1.1100007629995363,17.25,2018-12-02
336,0.8720012539421661,21.5,2018-12-03
337,0.224999992987236,23.25,2018-12-04
338,0.15200007197417795,6.0,2018-12-05
339,0.12400001104294027,22.25,2018-12-06
340,0.539002317802828,21.5,2018-12-07
341,1.1140010357549814,23.5,2018-12-08
342,0.1630000442038404,3.25,2018-12-09
343,0.1300001002991879,16.25,2018-12-10
344,1.1190051023088832,23.5,2018-12-11
345,1.1390010506930468,22.25,2018-12-12
346,0.5010018430502404,22.75,2018-12-13
347,0.16600005634346018,22.0,2018-12-14
348,1.1320077671249555,21.5,2018-12-15
349,1.0830000790554941,17.0,2018-12-16
350,0.21600044079930775,23.25,2018-12-17
351,1.1040003813593773,22.25,2018-12-18
352,1.0139999658695649,16.25,2018-12-19
353,0.17600017002063986,22.75,2018-12-20
354,0.21600005492539828,2.5,2018-12-21
355,0.15900023674063513,3.75,2018-12-22
356,1.0780000761337236,21.25,2018-12-23
357,1.0430311781158454,19.25,2018-12-24
358,1.0540004712358777,23.5,2018-12-25
359,0.1909999068447429,23.5,2018-12-26
360,0.1790010370239127,3.25,2018-12-27
361,1.0300000045318678,17.5,2018-12-28
362,1.0140023625513077,23.5,2018-12-29
363,1.0250054666823998,22.75,2018-12-30
364,0.10700014949047894,12.0,2018-12-31
