day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shed
137,7065.938981039446,4104.950690838904,915.1561480986817,890.1436270743347,1690.6691426036168,31942.69298189748,843.8655140213921,1296.9447454280587,50789.3322707603,3237.443674226523,12.25
138,11666.241588273015,4137.682154844184,1798.683593676448,907.5015151147273,1558.1306940377165,40586.34495420278,994.3803500865906,1330.371415997084,59800.44117839095,3353.1931215664267,11.0
139,25272.3676010473,1463.7353376115684,3574.5354919339848,313.6125428949978,1464.7908351222384,6845.7796143738815,46.9714794209891,3374.654694436731,2805.2826979106976,1511.6419754299063,3.25
140,1481.9176333240955,16306.409613966056,155.88443025584365,3862.1178855843414,1628.6145475806034,30521.58151609478,869.782830214099,1288.3248813749678,52341.76157848063,3227.58434151928,12.0
141,21702.90252622464,1013.6779012437385,3383.1848731627133,170.9025578940502,1498.2726147097599,39390.245257413095,1021.7167477186895,1434.0555960382949,61393.71883541692,3392.7706220386626,10.0
142,24568.691585036773,1901.61784554504,3374.936147525929,397.95742839246685,1565.6044067289602,8838.759205312823,44.52537507801309,3297.7554344330306,2646.779136490182,1652.8451791386515,3.0
143,11402.54784033833,2315.194951863734,1590.8082112533718,460.6096027548893,1515.1329719452024,33973.93508399164,930.436842607091,1285.2217303158548,55977.159581822685,3243.7846980402287,11.5
144,7358.593147734797,4529.005193487926,951.1780757145226,946.9345844378706,1506.6817279293728,36574.788069068985,1028.2835344886632,1443.5386087255567,61788.22621164835,3414.3596284609575,10.0
145,12745.530117445083,3238.6850557156795,1845.3550243464665,679.1971517382334,1553.9238129701873,39079.461579565985,997.2332345309486,1334.1885629865271,59972.02712685532,3362.815165881196,11.0
146,649.1887899544865,27473.753712998834,44.08585886371055,6289.025016494867,1494.1346925546568,35554.798199733064,962.2753274374356,1287.4247351220529,57870.04112251061,3244.959445074678,11.0
147,177.15563972393457,49232.49194131562,4.23370918373891,10951.558296423904,1489.1686823360246,33895.49335258446,992.6197670668481,1329.5260882054506,59677.539689410194,3333.88682947972,10.75
148,147.3938641635491,52256.07923390817,2.506830800968,11957.547375784692,1449.100551792701,31114.46525720206,957.3432155605861,1280.7973187464922,57572.686902301,3228.364172871971,11.0
149,6852.7962805655025,3533.0350111717685,1055.803951690433,777.3431175515365,1479.8454761171638,38371.93732694398,1010.2730549427681,1416.623325350793,60705.874870443884,3354.6354960092435,10.0
150,8179.552583690161,4975.049163041193,1189.0992049497088,1129.9663564310758,1469.5882253036061,35954.63514589873,1002.4932886514358,1406.1533866556551,60238.72538167454,3329.3590279679224,10.0
151,5308.457175307911,5352.14516449151,749.4876878805549,1163.350896203887,1364.2080627968503,32994.64007711238,813.4368127995505,1653.1498768050747,48903.01565243354,2794.1869231869587,9.25
152,81.35795732446545,66247.05195870258,1.879227215978909,14442.73331070576,1385.1470685154773,41460.94406081722,895.5231002102997,1370.1099578058838,53819.16317786016,3024.7744609479646,11.25
153,153.7968735165142,68937.6284307417,2.0026171800647274,15392.15893900257,1393.0894499949572,43573.44048816239,905.5105202232742,1385.3661486558042,54419.55026849464,3058.7690740204434,11.25
154,566.5993542992902,21281.98274851879,31.26841157397964,5054.256803267829,1401.3342046831312,36486.90845819531,919.3611889705148,1477.863294794585,55275.130177764186,3066.966032046706,10.0
155,2346.3056877222257,8173.752674263701,240.8214713580384,1888.2583153440155,1393.741169828814,38192.293355228445,913.4541607840204,1405.4829743076161,54919.917420342834,3061.5897550401096,10.25
156,5016.497730914277,4955.278584737582,644.5583733194942,1158.944789739086,1385.2980614150142,37610.824832289974,912.1022949137613,1467.2641549910563,54838.66767136796,3042.2405815510474,10.0
157,6029.087398534414,4324.1491847935595,802.8479393509601,957.701569459422,1380.4825598338941,39673.79985009293,905.2308104773714,1454.1394918723768,54425.52993598496,3019.8020826836996,10.0
158,1517.5101173757637,13176.805160598446,125.10057126453383,3071.3587728796115,1375.366428387372,37975.87355677584,902.2744876643766,1451.5961477146896,54247.75584522832,3009.186138987888,10.0
159,2473.4072296759373,12933.580490512884,263.8087117395301,2992.17311814893,1345.9950648719082,38898.42467656044,907.1343476470282,1459.382112559948,54539.96073782954,3025.510393948049,10.0
160,2256.66423474755,10981.376246379246,232.35608689106758,2550.0825669190685,1337.979559826585,37442.7981128603,895.859178055965,1444.536188497993,53862.09695315222,2987.420013729781,10.0
161,181.05908220631346,28703.992914059007,16.76350483034982,6527.073506642749,1404.2365807064907,36452.70018871721,861.1773003169616,1363.1753256013747,51760.93078020349,2995.2881578407587,11.5
162,48.193756773236366,71223.97734653522,0.4745767849454545,15642.05857999459,1394.62058966704,32947.74046217598,848.5645990115927,1343.9317212338622,51002.57250160617,2952.1113314381305,11.5
163,177.37084576804656,45458.337250230485,5.586834135264,10398.826947452368,1385.913364744557,37886.157430596846,888.7920517612914,1361.8037018404775,53420.757831307244,2996.333582701311,11.0
164,5015.836422692318,5880.227963777031,624.8211122432335,1285.024635671494,2179.8027471818373,32687.858534348452,412.6514878832394,2706.339588377297,24806.051430371335,2935.84605959267,7.0
