day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shift,date
103,2.3032971679049425,4126.522489025447,1.1050883002171286,954.2082406766726,258.12060270541264,5175.488483321714,91.35056831302762,163.91533005276094,5518.125445101447,408.2224611354542,13.75,2018-04-14
104,568.9932941765568,403.2974423036807,81.63212383606371,90.31639272718293,197.393476950036,1056.3547098107358,2.9526529115590274,318.53905557957603,171.1148947146255,275.9475857635013,1.25,2018-04-15
105,2227.7075506376023,135.74732055992436,339.12087267782937,25.40107649201924,215.0844569382717,3173.9801809121013,81.8112653166943,146.79843884619595,4969.201744566548,367.61395516274257,14.0,2018-04-16
106,335.2432610782425,1036.728206352747,52.81229238026554,240.12811466694333,229.4420170025946,4849.016005070188,87.60834066035707,157.2004608547353,5281.221489880233,390.6966898682633,13.75,2018-04-17
107,6448.016043100653,512.2810078791907,776.5258041269601,21.302589832559825,191.9085524315037,891.5598257527423,4.260519377882002,339.73000762917763,248.72008218717232,194.48053731548208,3.25,2018-04-18
108,170.26491815869053,2598.481391158894,13.1385641052293,645.8441317423542,360.1926179849091,4674.81755514243,22.701962769392868,1383.7474160177019,1372.4505254969142,708.4879887271228,17.75,2018-04-19
109,71.0563112696243,2460.0261413000917,11.258281126367136,556.0851260662406,183.27000498051197,3691.607987909298,121.99544250460714,164.26012543607817,7381.235354293259,409.07738442080995,13.0,2018-04-20
110,4.052980568734511,4203.3910520583795,1.3216595691398163,965.5605883541095,245.02453231490358,4154.5799283712095,87.40177965955382,156.8297824663677,5269.665118998768,389.8417677684272,13.75,2018-04-21
111,4.441571846253198e-07,6159.052942150583,0.43514987393213767,1417.3567359437668,243.42053095234155,4361.900995402215,86.33291672759809,154.91188682602254,5223.440064078711,386.422096941011,14.0,2018-04-22
112,4.678855571163642,4765.971565505344,1.1458284425424599,1085.9574600236813,189.0614355965818,4391.38163499609,126.23193068584699,169.96430936658913,7635.760823896322,423.18351041103404,12.75,2018-04-23
113,91.27826180585622,2203.4248239013054,10.328116996150433,523.5704353254786,243.22251948378548,2787.847411967769,92.30173647845047,165.62206759212688,5575.906625037112,412.49705103072597,13.75,2018-04-24
114,124.68365836528818,1875.4159553544189,15.030866687651615,444.76840323418986,236.41903519995998,4495.49301477751,89.82293243019893,161.17419549480164,5425.674939144549,401.383076408231,13.75,2018-04-25
115,1395.8737929671931,252.07482355289682,214.2257489642059,60.72673412440134,188.9089252221592,1371.986822702696,2.8597154282941766,254.85041968500497,165.40431105391494,510.64853265756767,1.0,2018-04-26
116,27.96072716196155,3112.88633999403,4.578927042188265,740.6159841750607,254.76330476500934,4066.8605181790126,96.64444262517353,173.41441342671598,5835.923257983543,431.73266945972665,13.75,2018-04-27
117,184.2638625137529,1912.973516342739,20.44147825516374,456.39715519788984,271.6488273890625,4885.997481184958,96.10400674103646,172.44469142373282,5795.476182076787,428.7404570402385,13.75,2018-04-28
118,479.61728050829413,1548.0282678451615,50.501392524127624,357.4019631827952,194.70768435589127,5040.408840173908,128.63746065648596,173.20323780413548,7774.592781809032,430.8777524240032,12.25,2018-04-29
119,2436.926229369279,281.3002480150958,323.4127102414522,62.48057334577423,191.2951780717017,686.8276733868689,4.22042208748279,336.53271518819486,246.1316681712538,192.4568148672302,3.25,2018-04-30
120,28.235070940716597,2767.8018615081787,4.430741987017687,662.7816425881186,254.02720096435704,3423.285871427297,72.10758440322539,263.2361214208016,4338.866672966842,386.4448236235659,15.25,2018-05-01
121,18.984952653420937,3887.73960055398,2.253929910059806,950.9778449672613,261.3672016472767,4380.739692018377,58.428356180204055,638.7242261908624,3534.7498858607273,398.4555167243984,16.0,2018-05-02
122,1733.2960357048796,277.60416640447994,238.41772275297848,63.56733149924164,168.49365926186468,1153.3849583700357,2.7358094661937975,243.80887609055415,160.20692695859617,212.9959928721453,2.25,2018-05-03
123,2552.3569419206115,222.11501500048306,365.06914868961644,46.996177488988714,186.01908282862905,1019.7991533066166,3.037776058144777,270.71941342042635,177.66662634123995,236.20871278186482,3.0,2018-05-04
124,103.46165313008163,2136.41812667009,9.869983416349106,509.16984119850855,263.1994838939468,4780.880148272742,71.86039245876293,262.33369601185166,4334.034957136507,386.0144797655299,14.5,2018-05-05
125,157.53413626567686,1880.8594607874893,17.260416584461087,445.2661231051558,245.7637663892721,3801.6720017448692,87.0906167615481,155.95703975108938,5296.868097011073,393.3302160319404,14.0,2018-05-06
126,198.5290307262395,1582.4600176965207,19.503073134596924,361.02547537802525,173.7784803163703,5170.850337461682,123.14047216867615,166.69440579097738,7410.73089511167,401.1147713501812,11.0,2018-05-07
127,45.74255223325638,2539.784143920617,5.063436281739958,605.8956550922502,227.08213901148326,3283.3365420356527,85.30599026408811,152.76122714924617,5186.758096492642,385.15380567389684,14.0,2018-05-08
128,480.382399114133,519.1325132667992,62.37408145188234,117.94989821375826,179.72910526799816,1398.91278057231,2.889263123587272,311.70040572101186,169.99184696974365,271.957192529796,2.0,2018-05-09
129,71.34962171426758,2419.2017434035415,9.458932923740157,555.7934138352657,214.37512997976737,3209.348180094818,81.05320603272337,145.14558048447316,4908.585707951284,364.4975060249549,13.25,2018-05-10
130,592.1495545597568,899.8650379373448,61.298942698179175,202.9928175673708,174.04366911352227,4451.890253098347,122.77227832774396,166.19600929978444,7394.352831600246,400.2283692947784,10.25,2018-05-11
131,1.3725379647536513e-07,7982.384902313729,0.1767872524028088,1847.8544871090019,247.13484772289925,4395.924378835882,87.85838319352973,157.3319140261832,5302.663308826756,393.7605909680149,14.0,2018-05-12
132,456.8264233644201,501.7051529258903,54.8615731379971,120.14773630382588,194.97503604349237,933.7952721215727,3.003693741293014,324.04550599583644,175.17238789735222,280.24487948838504,1.75,2018-05-13
133,1293.3313676192906,373.02626226913975,193.2946205691137,85.24004504687869,188.80354817162362,804.0768511800475,4.131762910577508,329.46313591405044,242.00431625162122,188.6117184846513,3.25,2018-05-14
134,414.32586368636026,805.0519447927647,52.520167183522155,176.01125066953858,225.95690849809776,3555.9249905472675,85.30237959540757,152.75476556186376,5157.781833253306,383.00210875755965,13.25,2018-05-15
135,47.68752121706088,2960.761584619494,5.45503173609035,704.0508212433449,234.21435711908762,4899.3209121050495,87.45645004766095,156.61213017032165,5279.4823180584335,392.03922118470484,13.5,2018-05-16
136,1555.2480041425245,298.2564801601759,243.06877709367294,56.58842909095191,290.5059457901042,4462.828737679614,26.893510728371645,675.1391813994301,1621.8990285887348,336.7905328015665,6.75,2018-05-17
137,403.92205844575034,765.8644354607197,53.621093026214204,169.59434759504583,233.2693990684461,2463.9245186943363,87.66343396758802,156.98280761209548,5296.868071662998,393.3302508003078,14.0,2018-05-18
138,965.3283597202138,715.6897289853242,131.74120723432546,159.96509671834173,179.6146392724114,6280.5279289478585,118.43311834258412,158.98261976286287,7156.575087045457,398.49432179579617,12.75,2018-05-19
139,1478.8096003570581,348.49637761077685,249.4122692556277,85.56009264959319,262.9362834530836,2893.219125404563,3.1280036615881923,278.7603003360484,182.65494770385942,830.4998645660983,23.75,2018-05-20
140,184.29710364039425,2021.6910646467431,20.738870012883993,484.13933191978714,232.04877793829183,2982.7371612716684,86.61527769829938,155.10583200547396,5233.120216375757,388.59652115608435,13.75,2018-05-21
141,1730.736393449608,209.93882435107633,244.32086483623837,43.58531499886715,172.5179656727294,3223.0559032534306,115.12774683997176,154.54553520944998,6963.362830696025,387.73583622044987,13.0,2018-05-22
142,1105.814605007441,386.6004005500496,182.08058261900797,94.31095246490763,225.30298447938716,2971.084861868891,2.8152525180844723,250.8886589535564,164.23604635550024,746.7519903347138,23.75,2018-05-23
143,1357.6003312867801,312.9074355488684,182.88052957937433,63.91600080877748,174.1886561613045,4788.6078888539405,116.41843101920158,156.27812922399323,7032.919476127224,391.60890315274065,12.75,2018-05-24
144,148.5747772117752,1445.075260071026,19.061173182295196,331.01769497212473,221.58609525717478,3612.092514884873,84.58395297739072,151.46824748121517,5111.419675563697,379.5593587361366,13.75,2018-05-25
145,987.3455588761045,535.4217222959886,132.46985234529197,116.02469685659254,182.44134110088723,5216.659356998676,120.47670160166636,161.72589021691184,7280.2307537368015,405.37975822438784,12.5,2018-05-26
146,14.260750139198686,4052.937139348262,1.5748091845562704,919.7739479169023,175.76579370200125,4651.9756809696455,116.01067652659451,155.73077225995175,7009.734013839117,390.31778731429677,12.5,2018-05-27
147,2.1493275841300461e-07,9257.602650786597,0.1751919245268099,1988.5709022006845,230.63638674097774,3602.937985395197,87.06895860457035,155.91825624091848,5262.096380618499,390.7482070880295,13.25,2018-05-28
148,36.800582468083014,3535.496680721064,0.5111195525413028,873.7582691561394,492.3781605728737,5279.009450456387,3.918580703719703,552.008733714096,229.28087544038104,959.1784669048773,21.0,2018-05-29
149,378.89755327319676,954.8253194017155,47.1443354866451,222.0402400214434,227.9659605794167,3513.2552287160343,86.62009288090867,155.11445132469495,5227.325039190154,388.1661576750363,13.5,2018-05-30
150,551.0012052589851,950.1950765481193,65.82168327433034,224.9129593067192,176.2351159850572,4262.331546112256,117.78616742809484,158.11416652600283,7117.9326304436045,396.3426245347876,13.0,2018-05-31
151,22.817259545346218,2553.208496592049,5.189813489412637,576.7849582963228,164.10542049603117,4841.915545273196,104.33311471369474,160.1683288750734,6280.954875616496,347.3288492225039,13.0,2018-06-01
152,2.3690616314335876e-07,9407.606491763689,2.2487657137668796e-09,2038.8133898661517,170.589743375049,6047.007468765144,110.75035624485771,170.01984459772777,6674.362405677903,369.08371089145845,12.75,2018-06-02
153,15.40709299647021,8408.73190758794,4.5632369340354985e-10,1884.1630623199483,173.78434943814534,5659.092226969206,112.3473728248586,171.29624784081673,6782.765309782146,387.3848109884338,12.0,2018-06-03
154,194.30496010747711,1496.1481588381403,17.977748978922076,375.4443859713421,304.71375316935206,4322.649683619834,2.723902073505648,280.3802355850236,159.1727050207227,828.399873054304,22.75,2018-06-04
155,730.7085866436872,461.78744366572806,93.15806666483904,108.16887639775611,187.31685494004077,961.2383854600855,2.729240501729559,337.51604262858694,159.17266458344673,254.54874838187993,2.0,2018-06-05
